Hackathon_Name, High_School, Start_Year, Start_Month, Start_Day, End_Year, End_Month, End_Day, Locality, Region, URL
Hack the 6ix 2018,0,2018,08,24,2018,08,26,Toronto,ON,http://hackthe6ix.com/
HackMTY,0,2018,08,25,2018,08,26,Monterrey,MX,http://hackmty.com/
ByteHacks,0,2018,09,01,2018,09,02,New York,NY,http://bytehacks.org/
MedHacks,0,2018,09,07,2018,09,09,Baltimore,MD,http://medhacks.org/2018
MXHacks,0,2018,09,07,2018,09,09,Mexico City,MX,https://mxhacks.io/
PennApps,0,2018,09,07,2018,09,09,Philadelphia,PA,http://2018f.pennapps.com/
HackTheU,0,2018,09,08,2018,09,09,Salt Lake City,UT,http://hacktheu.com/
HackRice 8,0,2018,09,14,2018,09,16,Houston,TX,http://hack.rice.edu/
Hack the North,0,2018,09,14,2018,09,16,Waterloo,ON,https://hackthenorth.com/
SBU Hacks,0,2018,09,14,2018,09,15,Stony Brook,NY,http://sbuhacks.org/
ShellHacks,0,2018,09,14,2018,09,16,Miami,FL,https://shellhacks.net/
Hophacks,0,2018,09,15,2018,09,17,Baltimore,MD,http://hophacks.com/
Lumohacks,0,2018,09,15,2018,09,16,Burnaby,BC,http://lumohacks.com/
BASEHacks 3.0,1,2018,09,22,2018,09,23,Fremont,CA,http://www.basehacks.org/
GrizzHacks,0,2018,09,22,2018,09,23,Rochester,MI,http://grizzhacks.com/
Ram Hacks,0,2018,09,22,2018,09,23,Richmond,VA,http://ramhacks.vcu.edu/
Volhacks,0,2018,09,28,2018,09,30,Knoxville,TN,https://volhacks.org/
HackNY,0,2018,09,29,2018,09,30,New York,NY,http://hackny.org/hackathon/
Mining hack,0,2018,09,29,2018,09,30,Torreón,MX,http://mininghack.tech/
HackGSU,0,2018,10,05,2018,10,07,Atlanta,GA,http://hackgsu.com/
HackNC,0,2018,10,05,2018,10,07,Chapel Hill,NC,http://hacknc.com
Hack This. Help Kids.,0,2018,10,05,2018,10,06,Pittsburgh,PA,http://hackthishelpkids.com
HackPSU,0,2018,10,06,2018,10,07,State College,PA,https://hackpsu.org/
HackRU,0,2018,10,06,2018,10,07,New Brunswick,NJ,https://www.hackru.org/
HackUIowa,0,2018,10,06,2018,10,07,Iowa City,IA,http://bigdata.uiowa.edu/
HackUTA,0,2018,10,06,2018,10,07,Arlington,TX,http://hackuta.com
HAkron 3000,0,2018,10,06,2018,10,07,Akron,OH,http://www.hakron.io/
HackCooper,0,2018,10,12,2018,10,13,New York,NY,http://hackcooper.org/
HackUMass,0,2018,10,12,2018,10,14,Amherst,MA,https://hackumass.com/
MHacks,0,2018,10,12,2018,10,14,Ann Arbor,MI,https://mhacks.org/
PatriotHacks,0,2018,10,12,2018,10,14,Fairfax,VA,http://patriothacks.org/
SD Hacks,0,2018,10,12,2018,10,14,La Jolla,CA,http://www.sdhacks.io/
TigerHacks,0,2018,10,12,2018,10,14,Columbia,MO,http://tigerhacks.missouri.edu/
EastHacks,1,2018,10,13,2018,10,14,Cherry Hill,NJ,https://www.easthacks.us/
HackDuke,0,2018,10,13,2018,10,14,Durham,NC,http://hackduke.org/
BigRed//Hacks,0,2018,10,19,2018,10,21,Ithaca,NY,http://bigredhacks.com/
BoilerMake,0,2018,10,19,2018,10,21,West Lafayette,IN,http://boilermake.org
HackGT,0,2018,10,19,2018,10,21,Atlanta,GA,https://2018.hack.gt/
HackHarvard College,0,2018,10,19,2018,10,21,Cambridge,MA,http://hackharvard.io/
HackISU,0,2018,10,19,2018,10,21,Ames,IA,http://hackisu.org/
Hack KState,0,2018,10,19,2018,10,21,Manhattan,KS,https://hackkstate.tech/
Kent Hack Enough,0,2018,10,19,2018,10,21,Kent,OH,http://khe.io/
DemonHacks,0,2018,10,20,2018,10,21,Chicago,IL,http://demonhacks.com/
DubHacks,0,2018,10,20,2018,10,21,Seattle,WA,http://dubhacks.co/
HackTX,0,2018,10,20,2018,10,21,Austin,TX,http://hacktx.com/
HackUMBC,0,2018,10,20,2018,10,21,Baltimore,MD,http://hackumbc.org/
HyphenHacks,1,2018,10,20,2018,10,21,San Francisco,CA,https://hyphen-hacks.com/
Power the Future,0,2018,10,20,2018,10,21,Richmond,VA,http://powerthefuture.energy/
Cal Hacks 5.0,0,2018,11,02,2018,11,04,Berkeley,CA,https://2018.calhacks.io/
Electric City Hacks,0,2018,11,02,2018,11,04,Peterborough,ON,http://echacks.com/
HackHolyoke,0,2018,11,02,2018,11,03,South Hadley,MA,http://hackholyoke.com/
